name,foundingDate
CoastAmerica                   ,1928
E-II Holdings                  ,1967
Specialty Equipment Companies  ,1984
United Coasts                  ,1985
Quadrax                        ,1986
Hills Department Stores        ,1920
Tucker Holding                 ,1982
Elmwood Federal Savings Bank   ,1915
Health Concepts IV             ,1986
Frances Denney Companies       ,1900
Pathe Computer Control Systems ,1983
Vikonics                       ,1973
Hilb Rogal & Hamilton          ,1982
Benihana National              ,1984
Ceramics Process Systems       ,1984
First Bank of Philadelphia     ,1987
Renaissance GRX                ,1986
Summit Technology              ,1985
St Ives Laboratories           ,1987
FileNet                        ,1982
Corporate Software             ,1983
Fair Issac & Company           ,1956
Home Office Reference Lab      ,1972
Eliot Savings Bank             ,1900
National Insurance Group       ,1986
Optek Technology               ,1979
Media Logic                    ,1982
Pricor                         ,1985
Chase Medical Group            ,1987
CONMED                         ,1970
Everex Systems                 ,1983
Sahara Casino Partners LP      ,1987
Carnival Cruise Lines          ,1974
Celgene                        ,1986
ProNet                         ,1982
Price Pfister                  ,1910
ABIOMED                        ,1981
"Amax Gold, Inc.                ",1987
Onondaga Savings Bank          ,1901
Monitek Technologies           ,1968
NDL Products                   ,1974
Continental Graphics           ,1931
Indepth Data                   ,1984
United Building Services       ,1987
Polar Molecular                ,1984
"First Essex Bancorp,Andover,MA ",1987
Larizza Industries             ,1982
Applied Power                  ,1910
Original Italian Pasta         ,1985
All American Semiconductor     ,1964
LANSystems                     ,1972
Digital Optronics              ,1984
American Consulting            ,1972
Mgmt Company Entertainment Grp ,1986
Thrifty Rent-A-Car System      ,1950
Melamine Chemicals             ,1968
Jan Bell Marketing             ,1983
Xscribe                        ,1978
Eastern Environmental Services ,1987
Teradata                       ,1979
SNL Financial                  ,1979
Eastex Energy                  ,1980
Entronics                      ,1984
IndTech                        ,1986
"Premier Bankshs,Bluefield,VA   ",1986
GENDEX                         ,1983
Unigene Laboratories           ,1980
Morsemere Financial Group      ,1926
Starstream Communications      ,1983
Coachman                       ,1985
Lillian Vernon                 ,1951
Domain Technology              ,1981
Northland Cranberries          ,1987
Winston Furniture              ,1969
Telemundo Group                ,1935
Harding Associates             ,1959
Fastenal                       ,1967
Alliance Imaging               ,1983
J.T. Moran Financial           ,1984
Provena Foods                  ,1972
Jepson                         ,1983
McCaw Cellular Communications  ,1981
Intellicall                    ,1985
Atek Metals Center             ,1970
Advanced Polymer Systems       ,1983
Multi-Color                    ,1900
Poseidon Pools of America      ,1986
Cell Technology                ,1982
Atlantis Group                 ,1984
Stevens Graphics               ,1986
CAM Data Systems               ,1983
Optifab                        ,1970
Longwood Group                 ,1986
Walshire Assurance             ,1976
Earth Technology USA           ,1970
ValCom                         ,1985
Harold's Stores                ,1948
International Bankcard Svcs    ,1986
Goldtex                        ,1983
Wedding Information Network    ,1982
Rainbow Technologies           ,1987
First Federal Bancorp          ,1975
Sunrise Preschools             ,1987
Vitel Fiber Optics             ,1986
Memory Sciences                ,1985
Galaxy Cheese                  ,1968
EMCON Associates               ,1971
Wheelabrator Technologies      ,1985
Vision Technologies Intl       ,1986
Winston Resources              ,1967
JM Peters                      ,1975
Entree                         ,1986
United Shoppers of America     ,1986
Ingles Markets                 ,1963
Centex Telemanagement          ,1983
Cambrex                        ,1981
Charles Schwab                 ,1971
Dataphaz                       ,1978
Cable Exchange                 ,1987
Piedmont Mining                ,1983
Penn Treaty American           ,1971
Norton Enterprises             ,1987
Union Texas Petroleum Holdings ,1900
Catalyst Thermal Energy        ,1971
Centel Cable Television        ,1978
First Fed S&L Charlotte County ,1934
Flextronics                    ,1969
ARCO Chemical                  ,1957
Structural Dynamics Research   ,1967
Garnet Resources               ,1986
Generation 5 Technology        ,1985
Summagraphics                  ,1987
Anchor Savings and Loan        ,1943
Albany International           ,1900
Gen-Probe                      ,1983
H.M.S.S.                       ,1982
Advatex Associates             ,1986
IBP                            ,1961
II-VI                          ,1971
Fashion Channel Network        ,1986
First Team Sports              ,1986
Spiegel                        ,1900
Dallas-Semiconductor           ,1984
Steel of West Virginia         ,1907
C.A. Blockers                  ,1986
Invitron                       ,1984
HHB Systems                    ,1977
Electronic Data Technologies   ,1987
Communications Transmission    ,1986
Stage II Apparel               ,1980
ISOETEC Communications         ,1982
Code-Alarm                     ,1979
Johnson Worldwide Associates   ,1985
Tempest Technologies           ,1981
Critical Industries            ,1984
Keptel                         ,1983
Blyth Holdings                 ,1987
Holiday RV Superstores         ,1978
Camera Enterprises             ,1957
International Yogurt           ,1977
Thomson McKinnon Asset Mgmt LP ,1987
Properties of America          ,1974
Borden Chemicals & Plastics LP ,1951
Clean Harbors                  ,1980
"Provident Bankshares,Maryland  ",1900
CyberOptics                    ,1984
Orthomet                       ,1974
First State Financial Services ,1900
Great Bay Bankshares           ,1987
Home Federal Savings Bank IN   ,1908
Jean Philippe Fragrances       ,1985
Roadmaster Industries          ,1987
Charter One Financial          ,1934
IMC Fertilizer Group           ,1909
New York Bancorp               ,1935
PhoneTel Technologies          ,1984
Truvel                         ,1973
Houston Biomedical             ,1986
Belmac                         ,1974
McClatchy Newspapers           ,1930
Portsmouth Bank Shares         ,1900
Salvatori Ophthalmics          ,1986
AutoSpa Automalls              ,1986
Gil-Med Industries             ,1980
Intl Leisure Enterprises       ,1986
Intl Nutrition & Genetics      ,1986
ALFA International             ,1938
Geraghty & Miller              ,1957
Octel Communications           ,1982
Maxim Integrated Products      ,1987
Vanguard Cellular Systems      ,1984
Vitalink Communications        ,1980
NS Group                       ,1980
Gruene                         ,1980
Meicor                         ,1986
Varitronic Systems Inc         ,1983
Mallard Coach                  ,1981
FlowMole                       ,1982
Mutual Federal S&L             ,1900
Avondale Industries            ,1938
Polifly Financial              ,1924
Standard Federal S&L           ,1908
Altera                         ,1983
Donnelly                       ,1905
Cease Fire                     ,1986
Information Mgmt Technologies  ,1986
US WEST NewVector Group        ,1983
FastComm Communications        ,1983
Finevest Foods                 ,1985
Conner Peripherals             ,1985
Oregon Steel Mills             ,1928
Country Lake Foods             ,1987
Humagen                        ,1984
Alliance Capital Mgmt          ,1971
Contel Cellular                ,1980
Skolniks                       ,1981
Arctic Alaska Fisheries        ,1972
CytRx Biopool                  ,1987
Community Bancshares           ,1975
United States Cellular         ,1983
Freeport-McMoRan Copper Co Inc ,1987
Silk Greenhouse                ,1982
"BFS Bankorp, Inc.              ",1900
T2 Medical                     ,1984
Teleconnect                    ,1979
Homestyle Buffet               ,1986
Respironics                    ,1976
Catalina Lighting              ,1974
Sotheby's Holdings             ,1900
BMR Financial Group            ,1983
Compumat                       ,1980
Relational Technology          ,1980
Myo-Tech                       ,1986
FirstMiss Gold                 ,1987
Richfood Holdings              ,1937
Intercargo                     ,1985
Timberjack                     ,1958
Office Depot                   ,1986
ATC Environmental              ,1982
Medstone International         ,1984
U.S.A. Waste Services          ,1985
Hughes Homes                   ,1987
Egghead                        ,1984
Kinetic Concepts               ,1976
DataVend                       ,1985
Phoenix Technologies           ,1979
"First Federal S & L, Lenawee   ",1900
Harvard Knitwear               ,1968
Penn Traffic                   ,1971
Dell Computer                  ,1984
General Microelectronics       ,1987
Index Technology               ,1983
Mindscape                      ,1983
Carolina Southern Bank         ,1988
EW Scripps                     ,1900
Gaylord Container              ,1985
Drug Emporium                  ,1977
Peoples Bank of Bridgeport     ,1900
National Health Laboratories   ,1971
Burlington Resources           ,1900
Chaparral Steel                ,1973
CONCORD CAMERA                 ,1982
Eastland Financial             ,1900
Babbages                       ,1983
Apogee Technology              ,1981
Homeowners Group               ,1980
Assix International            ,1984
Oneita Industries              ,1900
Tri-R Systems                  ,1977
Tuscarora Plastics             ,1962
American Power Conversion      ,1981
Bayou Steel                    ,1979
Automotive Industries          ,1961
Columbia Laboratories          ,1986
Bond International Gold        ,1988
Charter Federal Savings Bank   ,1920
Rexene                         ,1965
Environmental Control Group    ,1976
Channel America LPTV Holdings  ,1987
Default Proof Credit Card Sys  ,1985
Kile Technology                ,1987
Mayflower Financial            ,1921
Smithfield Companies           ,1981
Kinder-Care Learning Centers   ,1986
Long Island City Financial     ,1900
NeoRx                          ,1984
Novellus Systems               ,1984
Fund Alabama                   ,1988
Ashland Coal                   ,1975
BMC Software                   ,1980
Stotler Group                  ,1962
Unitronix                      ,1975
In Home Health                 ,1981
SynOptics Communications       ,1985
Franklin First Financial       ,1934
Home Port Bancorp              ,1900
Casual Male                    ,1970
Weitek                         ,1980
DFSoutheastern                 ,1926
Heritage Media                 ,1971
Landmark Graphics              ,1982
Automobile Protection          ,1984
Associated Natural Gas         ,1983
Gitano Group                   ,1971
ARIX                           ,1982
Sierra On-Line                 ,1979
Selfix                         ,1962
BioAnalogics                   ,1986
Lindsay Manufacturing          ,1969
Sterling Chemicals             ,1986
FFO Financial Group            ,1934
Wainwright Bank & Trust        ,1987
Metcalf & Eddy Companies       ,1980
American Steel & Wire          ,1986
Taunton Technologies           ,1986
Kitchen Bazaar                 ,1961
Midwest Grain Products         ,1941
Neoterik Health Technologies   ,1981
Softsel Computer Products      ,1980
JHM Mortgage Securities LP     ,1987
HQ Office Supplies Warehouse   ,1988
Racal Telecom                  ,1966
WestAir Holding                ,1982
Omni Films International       ,1984
VSB Bancorp                    ,1900
Logic Devices                  ,1983
Metro Bancshares               ,1921
Beckman Instruments            ,1934
Leroy Pharmacies               ,1983
Dimensional Visions Group      ,1988
Huntway Partners LP            ,1987
Community Bancorp              ,1900
Genus                          ,1981
GNW Financial                  ,1916
Kushner-Locke                  ,1983
OptimumCare                    ,1986
Terminal Applications Group    ,1969
Office Club                    ,1986
Wellington Leisure Products    ,1909
Santa Fe Pacific Pipeline LP   ,1988
Hingham Institution for Svngs  ,1900
FMS Financial                  ,1900
Hitox Corporation of America   ,1980
Bliss & Laughlin Industries    ,1900
ERC Environmental and Energy   ,1985
International Barrier          ,1985
CBL Medical                    ,1986
Greenwood Bank of Bethel       ,1987
Thermo Cardiosystems           ,1966
Biopore                        ,1986
Lyondell Petrochemical         ,1985
FSI International              ,1973
Franklin Principal Maturity Tr ,1973
American Federal Bank          ,1921
Software Developer's           ,1985
American Network Group         ,1988
Legends Company of Chicago     ,1988
VanFed Bancorp                 ,1920
Network General                ,1986
BTU International              ,1950
Himedics                       ,1982
United Federal Bancorp         ,1949
Clinical Technologies Assoc    ,1985
"Greenstone, Rabasca, Roberts   ",1972
Cattleguard                    ,1980
BT Telecom                     ,1980
Environmental Mntrg & Testing  ,1988
H.W. Kaufman Financial Group   ,1969
Richard Barrie Fragrances      ,1988
American Body Armor & Equip    ,1969
Agristar                       ,1987
Benton Oil and Gas             ,1988
Pure Tech International        ,1972
Presstek                       ,1987
Arkansas Freightways           ,1982
Condor Services                ,1974
Microtel Franchise and Dvlp    ,1987
Chieftain International        ,1971
Bytex                          ,1980
Sevenson Environmental Svcs    ,1947
EnClean                        ,1984
International Broadcast Sys    ,1986
ChemDesign                     ,1982
Staples                        ,1985
Creative Learning Products     ,1988
Transgenic Sciences            ,1986
Wildey                         ,1983
Consilium                      ,1978
Goal Systems International     ,1975
DocuCon                        ,1987
Duty Free International        ,1983
Chempower                      ,1974
Unity Healthcare Holding       ,1986
VISX                           ,1986
Magnetech                      ,1963
Sunrise Technologies           ,1987
Xsirius Superconductivity      ,1987
Bernstein/Leibstone Associates ,1962
Nortankers                     ,1989
Comptronix                     ,1984
Unitog                         ,1932
BP Prudhoe Bay Royalty Trust   ,1988
Regent Bancshares              ,1956
Cabletron Systems              ,1988
Amerifax                       ,1988
Plum Creek Timber LP           ,1989
IDEX                           ,1979
T/SF Communications            ,1920
Cirrus Logic                   ,1984
MagneTek                       ,1984
Frenchtex                      ,1987
Weirton Steel                  ,1984
Smith's Food & Drug Centers    ,1948
Bali Jewelry                   ,1987
Rexhall Industries             ,1986
Europa Cruises                 ,1987
Symantec                       ,1982
Preferred Homecare of America  ,1987
Synetic                        ,1961
Handex Environmental Recovery  ,1968
Sports-Tech International      ,1988
Westcott Communications        ,1986
Tocor                          ,1989
Allou Health & Beauty Care     ,1928
CCAIR                          ,1984
BEI Electronics                ,1974
Cortex Pharmaceuticals         ,1987
Cognex                         ,1981
Lechters                       ,1977
Giddings & Lewis               ,1937
Mascott                        ,1982
GZA GeoEnvironmental           ,1964
Eagle Food Centers             ,1954
Smith Corona                   ,1900
Biomagnetic Technologies       ,1970
Marine Drilling Companies      ,1966
Newbridge Networks             ,1986
Ogden Projects                 ,1984
Serv-Tech                      ,1978
Allstate Financial             ,1982
Air & Water Technologies       ,1987
"Image Bank, Inc.               ",1974
Phoenix Laser Systems          ,1987
Grace Energy                   ,1979
BizMart                        ,1987
Neogen                         ,1981
New Image Industries           ,1987
Specialty Retail Services      ,1985
Chart House Enterprises Inc    ,1961
Office Products of America     ,1989
Brite Voice Systems            ,1984
Strings Ltd                    ,1986
Vencor                         ,1985
Applebee's International       ,1986
Central Newspapers             ,1934
Electronic Arts                ,1982
First City Bancorp             ,1986
Megamation                     ,1986
Kaneb Pipe Line Partners LP    ,1989
Hotelecopy                     ,1985
Surgical Laser Technologies    ,1983
Robec                          ,1977
Neurogen                       ,1987
Enron Oil & Gas                ,1970
Digi International             ,1985
"AG Automotive Warehouses,      ",1989
Employee Benefits Plans        ,1974
Rally's                        ,1984
NDE Environmental              ,1988
Exabyte                        ,1985
Sierra Tucson Companies        ,1983
Caere                          ,1973
KnowledgeWare                  ,1979
Allied Capital II              ,1989
Williams Controls              ,1988
Potash Corp of Saskatchewan    ,1975
Healthsource                   ,1985
First Federal Capital          ,1934
General Parcel Service         ,1985
Harmonia Bancorp               ,1900
Amtech                         ,1983
Lattice Semiconductor          ,1983
Valley Forge Scientific        ,1980
Mass Microsystems              ,1987
Advanced Environmental Recyclg ,1988
Ajay Sports                    ,1988
William & Clarissa             ,1988
Solectron                      ,1977
URCARCO                        ,1986
ProCyte                        ,1985
ImmunoGen                      ,1981
Receptech                      ,1989
TSS                            ,1988
ECI Environmental              ,1982
Gehl                           ,1900
Yes Clothing                   ,1982
Capital Bancorporation         ,1982
Cryomedical Sciences           ,1987
Helian Health Group            ,1976
REN-USA                        ,1986
Laserscope                     ,1979
Remittance Technologies        ,1988
Sun Sportswear                 ,1981
Arkla Exploration              ,1948
Parametric Technology          ,1985
Western Gas Resources          ,1977
Cellular Information Systems   ,1988
Industrial Funding             ,1957
First Brands                   ,1977
Berlitz International          ,1966
Giant Industries               ,1969
American Capital and Research  ,1969
G-III Apparel Group            ,1974
Great Southern Bancorp         ,1989
Home Nutritional Services      ,1980
Midwesco Filter Resources      ,1982
Borland International          ,1983
Keegan Management              ,1980
Ramsay-HMO                     ,1977
Exide Electronics Group        ,1962
MIPS Computer Systems          ,1984
Martech USA                    ,1974
CM Communications              ,1986
MAF Bancorp                    ,1922
Biomechanics of America        ,1984
Millfeld Trading Co            ,1978
Roberts Pharmaceutical         ,1982
Twin Star Productions          ,1987
Summit Financial               ,1989
TriCare                        ,1976
Hadson Energy Resources        ,1986
I-Flow                         ,1985
Henley International           ,1976
Cabot Oil & Gas                ,1900
US Bioscience Inc.             ,1987
Xenejenex                      ,1988
Reader's Digest Association    ,1926
Intera Information Tech        ,1974
Cisco Systems                  ,1984
Digital Sound                  ,1977
TEPPCO Partners LP             ,1989
Capucino's                     ,1989
Hologic                        ,1985
Integrated Systems             ,1980
Sequoia Systems                ,1981
CII Financial                  ,1988
Santa Fe Energy Resources      ,1971
"Interneuron Pharmaceuticals,   ",1988
Delphi Financial Group         ,1987
Tuboscope                      ,1937
Verifone                       ,1981
Viking Office Products         ,1960
Medical Nutrition              ,1981
Bankers                        ,1900
DeVlieg-Bullard                ,1986
NDC Automation                 ,1982
Tokos Medical                  ,1983
Geneva Steel                   ,1987
Medicis Pharmaceutical         ,1987
Syntellect                     ,1984
International Airlines Support ,1982
TETRA Technologies             ,1981
Pinkerton's                    ,1947
Pharmacy Management Services   ,1965
MedGroup                       ,1985
Advanced Logic Research        ,1984
RMI Titanium Co                ,1950
Sanifill                       ,1984
Pool Energy Services           ,1972
Craftmade International        ,1985
Sullivan Dental Products       ,1980
Granite Construction           ,1922
BE Avionics                    ,1987
Orbital Sciences               ,1982
Home Federal Savings Bank MO   ,1950
Fingerhut                      ,1948
Safeway                        ,1926
Wahlco Environmental Systems   ,1972
JMAR Industries                ,1987
Telebit                        ,1982
STOR Furnishings International ,1986
Aspect Telecommunications      ,1985
American Biogenetic Sciences   ,1983
Immune Response                ,1986
IG Laboratories                ,1986
Dynasty Classics               ,1986
ACTV Inc.                      ,1983
CMS/DATA                       ,1978
Lidak Pharmaceuticals          ,1988
RasterOps                      ,1987
Integrated Waste Services      ,1986
Club-Theatre Network           ,1985
Fountain Pharmaceuticals       ,1989
Pinnacle Environmental         ,1989
Mid-American Waste Systems     ,1985
HealthInfusion                 ,1988
Curragh Resources              ,1987
Chiles Offshore                ,1980
Mr. Coffee                     ,1975
K-Swiss                        ,1966
Fleer                          ,1913
Gensia Pharmaceuticals         ,1986
Digital Systems International  ,1980
NSC                            ,1976
Xilinx                         ,1984
Helix BioCore                  ,1987
Transatlantic Holdings         ,1953
Gamma International            ,1988
"CFSB Bancorp, Inc.             ",1900
AICorp                         ,1975
Arctco                         ,1982
Benchmark Electronics          ,1979
Vidmark                        ,1984
Crest Industries               ,1985
Horsehead Resource Development ,1986
Sundowner Offshore Services    ,1985
Swift Transportation           ,1966
Micrografx                     ,1982
Wet Seal                       ,1962
Orthopedic Services            ,1952
Winners Circle                 ,1983
Foundation Health              ,1978
Environmental Elements         ,1946
Alias Research                 ,1983
O'Charley's                    ,1983
MECA Software                  ,1987
Modtech                        ,1982
In-Store Advertising           ,1986
Command Security Corp          ,1980
Wisconsin Pharmacal            ,1900
Trimble Navigation             ,1978
BJ Services                    ,1900
IKOS Systems                   ,1985
Offshore Pipelines             ,1984
VIMRx Pharmaceuticals          ,1986
Coho Resources                 ,1980
Banner Aerospace               ,1973
Allied Clinical Laboratories   ,1985
Pit Stop Auto Centers          ,1987
Bird Medical Technologies      ,1984
Prime Cellular                 ,1990
Vintage Petroleum              ,1983
Easel                          ,1981
Omega Health Systems           ,1984
DynaGen                        ,1988
Lunar                          ,1974
Celebrity Resorts              ,1987
Gerrity Oil and Gas Corp.      ,1985
Marcam                         ,1980
Regenex                        ,1989
Failure Group                  ,1967
Radius                         ,1986
GB Foods                       ,1987
Vital Signs                    ,1972
Rocky Mountain Helicopters     ,1970
Pamida Holdings                ,1969
First Seismic                  ,1983
Grant Norpac                   ,1935
Ringer                         ,1961
Matrix Service                 ,1984
American Waste Services        ,1986
Universal International        ,1956
Pamet Systems                  ,1987
Northrim Bank                  ,1990
Triple Threat Enterprises      ,1990
Everest Medical                ,1983
Digital Biometrics             ,1985
Car Mart                       ,1988
Express Cash International     ,1988
Air-Cure Environmental         ,1990
Health Risk Management         ,1977
In Focus Systems               ,1986
IPS Health Care                ,1990
ALTA Health Strategies         ,1969
MBNA                           ,1990
Cygnus Therapeutic Systems     ,1985
Health Management Associates   ,1979
National Medical Waste         ,1989
Advanced Photonix              ,1988
Zilog                          ,1984
Sonic                          ,1974
Simtek                         ,1986
Community Health Systems       ,1985
Total Pharmaceutical Care      ,1984
Pac Rim Holding                ,1987
R&B                            ,1978
Destec Energy                  ,1983
Atmel                          ,1984
Maverick Tube                  ,1977
TakeCare                       ,1978
Seismed Instruments            ,1987
Somanetics                     ,1982
Citation Insurance Group       ,1981
Symix Systems                  ,1979
Aphton                         ,1981
CareNetwork                    ,1985
Medical Marketing Group        ,1987
AMSCO International            ,1902
AutoZone                       ,1979
Input/Output                   ,1968
Regeneron Pharmaceuticals      ,1988
Laser Vision Centers           ,1988
Value Health                   ,1987
LXE                            ,1978
Sport Supply Group             ,1972
Coventry                       ,1986
Brooktree                      ,1981
Platinum Technology            ,1987
Rentech                        ,1981
Leslie's Poolmart              ,1963
Credit Depot                   ,1986
United American Healthcare     ,1985
Caldor                         ,1986
Outlook Graphics               ,1977
Sierra Semiconductor           ,1983
Cephalon                       ,1987
Integrated Health Services     ,1986
Ross Systems                   ,1972
Xyplex                         ,1981
First Cash                     ,1988
Education Alternatives         ,1986
Quantum Health Resources       ,1988
Filene's Basement              ,1908
Ballistivet                    ,1983
Duracell International         ,1935
Applied Immune Sciences        ,1982
Homedco Group                  ,1970
Chipcom                        ,1983
MedImmune                      ,1987
Hi-Lo Automotive               ,1956
Haemonetics                    ,1971
OESI Power                     ,1986
Excel Technology               ,1985
OW Office Warehouse            ,1988
Star Multi Care Services       ,1961
Carlisle Plastics              ,1985
Jones Apparel Group            ,1970
Danek Group                    ,1983
AnnTaylor Stores               ,1954
Ropak Laboratories             ,1985
FA Tucker Group                ,1951
Isis Pharmaceuticals           ,1989
Vigoro                         ,1964
Wisconsin Central              ,1900
Computer Petroleum             ,1979
ImmuLogic Pharmaceutical       ,1987
Envoy                          ,1981
State of the Art               ,1981
BWIP Holding                   ,1957
Wheatley TXT                   ,1919
Beverly Hills Fan              ,1983
Proteon                        ,1974
Moorco International           ,1933
Lifetime Hoan                  ,1945
Rag Shops                      ,1963
US HomeCare                    ,1986
Cherokee                       ,1988
Applied Extrusion Technologies ,1986
Cambridge Neuroscience         ,1985
ICOS                           ,1989
Au Bon Pain                    ,1981
Value City Department Stores   ,1917
Pulse Engineering              ,1957
Qual-Med                       ,1985
Quarterdeck Office Systems     ,1982
Valley Systems                 ,1973
AudioScience                   ,1988
Genelabs Technologies          ,1983
Glycomed                       ,1987
American Dental Laser          ,1986
Outback Steakhouse             ,1987
Genesis Health Ventures        ,1985
Tanknology Environmental       ,1988
Lancit Media Productions       ,1979
Integrated Circuit Systems     ,1976
Medarex                        ,1987
Coastal Healthcare Group       ,1977
DeVry                          ,1931
IDEXX Corp                     ,1983
Regis                          ,1954
Int'l Specialty Products       ,1991
Mutual Risk Management         ,1977
AES                            ,1981
Insignia Systems               ,1990
Calloway's Nursery             ,1986
RehabCare                      ,1982
Advanced Promotion Tech        ,1987
COR Therapeutics               ,1988
Riddell Sports                 ,1929
Fruehauf Trailer               ,1914
Bertucci's                     ,1984
Curative Technologies          ,1984
Fortis                         ,1987
State Auto Financial           ,1950
Future Now                     ,1975
ValueVision International      ,1990
Aspen Bancshares               ,1987
Revell-Monogram                ,1973
Software Spectrum              ,1983
AMBAC                          ,1971
Kaiser Aluminum                ,1940
Omega Environmental            ,1990
American Biodyne               ,1985
IHOP                           ,1958
InterWest Savings Bank         ,1956
Marvel Entertainment Group     ,1939
Alkermes                       ,1987
Osteotech                      ,1986
Micronics Computers            ,1986
Sun Television & Appliances    ,1949
Little Switzerland             ,1980
Teknekron Communications       ,1983
Exel Limited                   ,1986
Aerodyne Products              ,1976
Meris Laboratories             ,1983
Enquirer/Star Group            ,1957
Avitar                         ,1986
ReLife                         ,1987
Vertex Pharmaceuticals         ,1989
Interstate Bakeries            ,1927
Video Lottery Technologies     ,1985
Catherines Stores              ,1960
Koll Management Services       ,1988
Thermo Electron Technologies   ,1956
GMIS                           ,1984
R-Tek                          ,1985
Monro Muffler Brake            ,1957
Progress Software              ,1981
Wellfleet Communications       ,1986
Smart & Final                  ,1984
Genetic Therapy                ,1986
Dianon Systems                 ,1983
Medicus Systems                ,1969
AG Services of America         ,1985
Singer NV                      ,1851
Somatogen                      ,1985
Biomatrix                      ,1981
Oxford Health Plans            ,1984
Royal Appliance Manufacturing  ,1910
SyStemix                       ,1988
MGIC Investment                ,1957
Cellular Technical Services Co ,1988
Mediplex Group                 ,1983
Special Devices                ,1960
Mediware Information Systems   ,1976
Capital Bancorporation         ,1983
Intergroup Healthcare          ,1982
PharmChem Laboratories         ,1971
Laser-Pacific Media            ,1983
Rogers Cantel Mobile Commun    ,1983
Candy's Tortilla Factory       ,1957
Sheffield Industries           ,1955
Restor Industries Inc          ,1983
American Healthcorp            ,1981
Liuski International           ,1984
Sybase                         ,1984
Licon International            ,1989
Fischer Imaging                ,1973
Zebra Technologies             ,1969
International Testing Services ,1985
BMC West                       ,1915
Vans                           ,1966
EZCORP                         ,1976
FoxMeyer                       ,1977
Magic Software Enterprises     ,1986
Mutual Assurance               ,1976
Saratoga Brands                ,1987
MedAmicus                      ,1985
Treadco                        ,1958
Trinity Capital Enterprise     ,1991
IDEC Pharmaceuticals Corp      ,1985
Maxum Health                   ,1989
He-Ro Group                    ,1981
Money Store                    ,1967
Artisoft                       ,1982
Government Technologies        ,1983
HoloPak Technologies           ,1979
Sepracor                       ,1984
Technology Solutions           ,1988
Super Rite Corporation         ,1965
Bon-Ton Stores                 ,1900
CellPro                        ,1987
Mobley Environmental Services  ,1943
Ocean Optique Distributors     ,1988
General Physics                ,1966
MediVators                     ,1985
Tecnol Medical Products        ,1976
Paging Network                 ,1981
York International Corporation ,1900
Barra                          ,1975
MicroProse                     ,1982
Sunrise Leasing                ,1989
Sunbelt Nursery Group          ,1919
ShopKo Stores                  ,1961
Grand Casinos                  ,1990
Medaphis                       ,1985
Salton/Maxim Housewares        ,1947
Stewart Enterprises            ,1910
Anergen                        ,1988
Body Drama                     ,1985
Centigram Communications       ,1980
Megacards                      ,1983
Veterinary Centers of America  ,1986
Presley                        ,1956
Right Start                    ,1985
Southwest Securities Group     ,1972
US Robotics                    ,1976
RP Scherer                     ,1944
Warnaco Group                  ,1968
Koo Koo Roo                    ,1987
Bio-Dyne                       ,1979
Lannet Data Communications     ,1985
Health Care and Retirement     ,1944
Read-Rite                      ,1981
Noise Com                      ,1985
American BioMed                ,1984
Barefoot                       ,1975
Old Dominion Freight Line      ,1934
United Wisconsin Services      ,1983
Gaylord Entertainment Company  ,1903
Century Federal Financial      ,1936
Goody's Family Clothing        ,1954
IMRS                           ,1981
Mitek Surgical Products        ,1985
Sports/Leisure                 ,1977
AutoCam                        ,1988
Jenny Craig                    ,1985
Sage Alerting Systems          ,1990
Hoenig Group                   ,1991
Supercuts                      ,1975
BET Holdings                   ,1979
GranCare                       ,1987
Alteon                         ,1986
Marquette Electronics          ,1965
Custom Chrome Inc              ,1970
Advanced Interventional Sys    ,1986
Interactive Network            ,1986
National Rehabilitation        ,1983
DATEQ Information Network      ,1985
Athena Neurosciences           ,1986
Embrex                         ,1985
NAMIC USA                      ,1969
Vision Ten                     ,1989
Alliance Imaging               ,1983
Diversicare                    ,1988
Wabash National                ,1985
Amphenol                       ,1932
Bally Gaming International     ,1964
Pacific Physician Services     ,1983
Bradley Pharmaceuticals        ,1985
ENVIRx                         ,1988
Harmony Holdings               ,1982
"Healthcare Imaging Services,   ",1991
Guaranty National              ,1983
"LaserSight, Inc.               ",1988
Atlantic Tel-Network           ,1989
Horace Mann Educators          ,1945
Biospecifics Technologies      ,1957
ARI Network Services           ,1981
Checkers Drive-In Restaurants  ,1985
Joy Technologies               ,1939
ImClone Systems                ,1984
Gencare Health Systems         ,1985
Insurance Auto Auctions        ,1982
America Service Group          ,1990
Apple South                    ,1986
Hamburger Hamlets Restaurants  ,1950
Information America            ,1982
Physicians Computer Network    ,1983
Cytel Corp                     ,1987
Stop & Shop                    ,1914
Broderbund Software            ,1981
Bachman Information Sys Inc    ,1983
SLM International              ,1976
World Acceptance               ,1962
Aames Financial                ,1954
Century Cellular Corp          ,1988
John B Sanfilippo & Son        ,1953
Sam & Libby                    ,1987
Conceptronic                   ,1987
Financial Data Systems         ,1985
Intervisual Books              ,1975
Peer Review Analysis           ,1984
Jimbo's Jumbos                 ,1946
Jansko                         ,1990
Retix Corp                     ,1985
Epigen                         ,1987
Owens-Illinois                 ,1907
DNX                            ,1988
Magainin Pharmaceuticals       ,1987
Vitesse Semiconductor Corp     ,1987
American Superconductor        ,1987
HealthTrust Inc-The Hospital   ,1985
Ambar                          ,1980
Inforum                        ,1987
Repossession Auction           ,1989
F&C International              ,1949
QUALCOMM                       ,1985
Internet Communications        ,1988
Perrigo                        ,1900
CompUSA                        ,1984
