name,foundingDate
BSD MEDICAL                    ,1978
APPLE COMPUTER                 ,1977
UNIV COMMUNICATION             ,1969
RATLIFF DRILLING               ,1968
C3                             ,1968
DECA ENERGY                    ,1980
DRILLERS                       ,1980
BELLWETHER                     ,1980
ZENTEC                         ,1973
DELMED                         ,1974
INTELLIGENT SYSTEMS            ,1973
ISSC INDL SOLID ST CTL         ,1962
MATRIX SCIENCE                 ,1960
PARTNERS OIL                   ,1980
NUTRI/SYSTEM                   ,1976
DIAGNOSTIC/RETRIEVAL           ,1968
DYSAN                          ,1972
CHEM-TRONICS                   ,1953
SILICON SYSTEMS                ,1972
ENTERPRISE RADIO               ,1980
VERNA                          ,1975
SOUTH TEXAS DRILLING           ,1979
INTER-TEL                      ,1969
RENAL DEVICES                  ,1977
TANDON                         ,1976
SCIENTIFIC LEASING             ,1968
ELECTRO-BIOLOGY                ,1975
FUNDSNET                       ,1980
NEW YORK AIR                   ,1980
NAHAMA & WEAGANT               ,1971
C-COR ELECTRONICS              ,1953
LASER INDUSTRIES               ,1972
WILLIAMS ELECTRONICS           ,1974
CONSOLIDATED PETROLEUM         ,1978
AUTOCLAVE ENGINEERS            ,1946
CETUS                          ,1971
DELTA DRILLING                 ,1931
SAGE DRILLING                  ,1950
TIMES FIBER                    ,1977
OBJECT RECOGNITION             ,1972
DURALITH                       ,1942
HEI                            ,1968
INT'L INSTITUTE (MED)          ,1980
TECHNOLOGY MARKETING           ,1969
SEI                            ,1968
EMULEX                         ,1979
INFOTRON SYSTEMS               ,1968
VENTREX LABS                   ,1976
AMERICAN FIBER OPTICS          ,1980
DELTA NATURAL GAS              ,1949
STERLING PIPE & SUPPLY         ,1976
INTERGRAPH                     ,1969
ULTIMATE CORPORATION           ,1978
EIL INSTRUMENTS                ,1970
GERBER SYSTEMS                 ,1979
KENCOPE ENERGY                 ,1965
MANAGEMENT SCIENCE             ,1900
PRAIRIE PRODUCING              ,1964
EXPLORATION SURVEYS            ,1979
INTERMAGNETICS GENERAL         ,1971
COMPUTER MAGNETICS             ,1980
BIW CABLE SYSTEMS              ,1905
COMPUTER ENTRY                 ,1969
PIZZA TIME THEATRE             ,1978
INTERTEC DATA                  ,1973
SILICON ELECTRO-PHYSIC         ,1975
DORADO MICRO SYSTEMS           ,1977
GREATWEST HOSPITALS            ,1981
SWIFT INDEPENDENT              ,1980
DAWSON GEOPHYSICAL             ,1952
ENERSERV PRODUCTS              ,1976
TELESPHERE INT'L               ,1979
ENS BIOLOGICALS                ,1978
CHILDREN'S PLACE               ,1972
CRAWFORD ENERGY                ,1973
IKE LOVELADY                   ,1978
NELSON RESEARCH                ,1972
DATA I/O                       ,1969
WOMETCO CABLE TV               ,1971
NORPAC EXPLORATION             ,1978
AMERICAN DIAGNOSTICS           ,1972
VIRATEK                        ,1980
ADVANCED SEMICONDUCTOR         ,1968
IPL SYSTEMS                    ,1973
INTERFERON SCIENCES            ,1980
READING AVIATION               ,1946
INTERPHARM LABS                ,1978
CABLE TV INDUSTRIES            ,1976
INPUT BUSINESS MACH'S          ,1970
NOVAR ELECTRONICS              ,1963
MOUNTAIN MEDICAL EQUIP         ,1978
ASTRO DRILLING                 ,1974
THORATEC LABS                  ,1976
SKIPPER'S                      ,1978
BALCO ENERGY                   ,1958
SEVEN OAKS INT'L               ,1971
RIBI IMMUNOCHEM                ,1981
CIBOLA ENERGY                  ,1978
UNITEL VIDEO                   ,1969
ULTRA-SYSTEMS                  ,1969
BARTON VALVE                   ,1961
DETECTOR ELECTRONICS           ,1973
BONRAY DRILLING                ,1957
KIMBARK OIL & GAS              ,1949
L.B. FOSTER                    ,1902
LIZ CLAIBORNE                  ,1976
SOFTWARE AG                    ,1973
DREYER'S ICE CREAM             ,1928
S.A.L. CABLE COMMUNIC.         ,1974
GEOPHYSICAL SYSTEMS            ,1972
KLOSS VIDEO                    ,1977
ALPHA MICROSYSTEMS             ,1977
OCILLA INDUSTRIES              ,1979
KYLE TECHNOLOGY                ,1976
