Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,AUS,1878.257645,1854.761092,1967.321094,2131.57853,2281.197141,2343.610792,2579.891421,2723.719707,2991.241889,3304.589121,3494.800171,3948.929705,4769.661087,6482.508884,7001.974937,7484.204477,7773.395401,8250.324192,9291.61988,10206.75607,11849.99942,12784.76907,11533.34415,12454.55172,11457.76794,11393.45356,11665.02294,14331.09182,17894.24753,18247.39456,18837.18928,18599.00117,17658.07944,18080.69753,20375.30175,21931.06145,23536.68349,21352.31487,20546.74271,21678.49368,19504.57255,20071.96613,23455.84237,30464.00376,34011.73864,36113.0024,40628.99571,49358.69872,42551.02722,51746.11693,62125.75523,67555.76209,
Austria,AUT,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,2037.616673,2356.515558,2894.006318,3850.748013,4583.17943,5231.314682,5620.045201,6740.653304,8121.163487,9693.141242,10757.86946,9288.82217,9313.662513,9439.417257,8898.688186,9077.859908,12948.65331,16224.34535,17398.01096,17289.46502,21458.23272,22180.65535,24624.53784,23834.107,25383.19881,30014.27275,29485.60821,26082.45851,26743.79194,26563.20954,23974.18307,23833.83424,25679.0944,31268.6307,35662.21182,37067.32383,39299.6143,45181.46759,49679.1107,45872.22098,44723.20394,49338.76066,46642.29033,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324492,1209.237493,676.1515115,530.0903798,436.1905586,397.1981161,409.2167452,505.5605732,561.9103017,573.8902562,655.0974326,703.6712504,763.1012122,883.614009,1045.026415,1578.36733,2472.997476,3851.325664,5574.603802,4950.294791,5843.169753,7189.815151,7163.704143,
Burundi,BDI,71.46943355,73.76032779,78.87416092,86.5716238,51.63793676,52.45748852,55.11290688,55.22538559,56.05911385,70.21250721,72.08427138,69.57464447,84.94113497,95.27527395,114.4921667,119.7466788,143.1306097,155.758233,194.7068056,222.8809396,228.5597928,232.4235223,241.350851,213.4434481,240.8759845,243.4790645,221.5647959,204.9682729,204.414541,201.9491438,203.0338024,184.106199,156.3422534,151.3355106,161.1015779,138.0628074,152.741207,138.6191491,123.4596667,130.4238485,128.1980583,117.2814013,108.014551,121.8593036,143.7835295,158.3050232,162.8275094,186.8717489,194.8966661,219.5297995,246.9143271,251.014523,
Belgium,BEL,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2732.224225,3045.402163,3784.992768,4841.307064,5664.005657,6619.807302,7154.884072,8324.373084,10164.51999,11666.85557,12707.42027,10493.50036,9230.126481,8738.556775,8354.325824,8644.302473,12021.90541,14951.61675,16191.57935,16323.91663,20349.62487,20785.53888,23088.12465,22012.69312,23913.88524,28067.96974,27154.33688,24532.02692,25051.33996,24886.86566,22697.0123,22600.91615,24465.3335,30039.09224,34706.6939,36011.4694,37918.7732,43255.39528,47374.44813,43834.10286,42960.41969,46422.12222,43372.37071,
Benin,BEN,95.566922,94.45187434,99.8404447,104.323759,110.1326112,112.9735471,112.0276403,117.0224628,116.1885064,114.7366635,112.7455182,135.0086718,162.1749431,174.1707255,207.4405897,208.7604401,218.5292906,263.6310781,327.82315,377.9566361,337.7945068,322.4788073,270.7670926,252.4356598,243.9115095,302.6655703,343.6791653,345.809265,310.6327258,391.8934468,383.2953623,315.2182868,407.4501881,276.1591211,362.4709494,382.2854406,356.5782605,375.0241065,369.2449748,339.4730257,348.3345495,378.6587084,464.046143,511.2929789,532.6109983,557.2324469,632.3608696,739.2561276,712.616527,689.6483313,745.9154748,751.9163168,
Burkina Faso,BFA,71.5582089,76.52061097,78.37210249,80.47270761,81.72511987,82.54562462,84.36313619,84.73303283,86.52021767,81.49993121,84.28782711,99.32678734,113.7804652,124.3589337,152.7281454,155.6489366,176.7832501,225.9415576,262.0758372,282.6857854,254.2308043,245.0946289,217.9946709,193.8431596,200.8942645,256.7624457,291.1317961,313.0618339,304.8532727,351.9792491,346.410432,240.9633995,244.1271502,193.0702424,235.8322318,249.3646791,229.5052257,255.738905,267.2115822,224.9286471,235.4617989,260.6935797,332.2270756,371.2179868,406.9988043,422.8448175,474.5899781,569.6392934,553.0423743,592.6074699,649.92523,634.3209746,
Bangladesh,BGD,94.54855698,96.96753586,98.67434672,97.04055282,103.262133,109.0920987,118.97624,118.9600629,130.8870765,135.6187022,129.4117809,91.49191709,115.9370298,176.5222273,269.1247701,136.8200596,127.1894915,170.2536938,193.9822581,219.8592979,232.5814315,207.3372104,192.223091,213.4047769,229.2263543,217.7529404,235.9796883,251.0324273,264.7896616,283.9767287,281.598771,278.3381433,279.0643413,288.4316973,316.5085869,332.2362578,338.6985682,345.8759387,351.582591,355.9734341,348.7568929,347.2186123,372.9805204,400.4724749,421.1233114,427.291167,467.1363614,537.6384971,597.7118029,664.0642317,731.8941678,752.1560525,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,2261.417284,2255.761258,2220.823183,1897.078564,1943.06261,1959.938778,2261.757713,3168.865125,2561.108705,2449.800833,2377.335786,1267.734414,1214.484933,1278.517392,1149.377993,1554.721723,1063.075661,1209.502744,1581.824574,1611.129004,1579.34824,1729.191157,2030.788523,2641.787723,3249.287396,3733.263161,4313.430636,5498.035729,6798.138189,6403.147686,6334.682132,7286.643902,6978.053084,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,8537.597307,9269.146282,9446.158325,9421.452327,9590.777424,8706.829379,7041.42332,7554.512017,7957.790065,8029.987087,8528.760059,9057.723469,9088.579443,9707.222832,10138.12399,10376.36478,10525.95003,10628.05926,10013.87948,10330.86615,11927.90438,11347.32817,11591.41017,12625.47578,13693.60462,15303.78392,16672.72336,17894.16768,19625.57958,16213.33632,20545.98827,22466.94518,,
